Column1,timestamp,系统负荷,日前联络线计划,新能源预测,发布时间,DATE,PERIOD
36,2021/4/1 9:00,24919.6,-5697,6910.77,2021/3/30,2021/4/1,36
37,2021/4/1 9:15,24870.6,-5697,7047.55,2021/3/30,2021/4/1,37
38,2021/4/1 9:30,24892.9,-5697,7207.79,2021/3/30,2021/4/1,38
39,2021/4/1 9:45,24995.6,-5697,7332.56,2021/3/30,2021/4/1,39
40,2021/4/1 10:00,25130.6,-5697,7440.4,2021/3/30,2021/4/1,40
41,2021/4/1 10:15,25328.3,-5697,7570.44,2021/3/30,2021/4/1,41
42,2021/4/1 10:30,25488.6,-5697,7674.3,2021/3/30,2021/4/1,42
43,2021/4/1 10:45,25585.6,-5434.54,7764.78,2021/3/30,2021/4/1,43
44,2021/4/1 11:00,25729.3,-5235.19,7831.19,2021/3/30,2021/4/1,44
45,2021/4/1 11:15,25718.5,-4769.87,7797.7,2021/3/30,2021/4/1,45
46,2021/4/1 11:30,25537.7,-4564.94,7813.29,2021/3/30,2021/4/1,46
47,2021/4/1 11:45,25315.2,-4361.25,7773.63,2021/3/30,2021/4/1,47
48,2021/4/1 12:00,24967.7,-4361.25,7664.5,2021/3/30,2021/4/1,48
49,2021/4/1 12:15,24633.6,-4361.25,7625.87,2021/3/30,2021/4/1,49
50,2021/4/1 12:30,24515.4,-4361.25,7513.81,2021/3/30,2021/4/1,50
51,2021/4/1 12:45,24480.8,-4623.88,7376.89,2021/3/30,2021/4/1,51
52,2021/4/1 13:00,24494.3,-4619.54,7195.67,2021/3/30,2021/4/1,52
53,2021/4/1 13:15,24468.8,-4882,6928,2021/3/30,2021/4/1,53
54,2021/4/1 13:30,24484.9,-4882,6686.87,2021/3/30,2021/4/1,54
55,2021/4/1 13:45,24526.7,-4882,6459.12,2021/3/30,2021/4/1,55
56,2021/4/1 14:00,24618.7,-4882,6133.01,2021/3/30,2021/4/1,56
57,2021/4/1 14:15,24719.3,-4882,5839.83,2021/3/30,2021/4/1,57
58,2021/4/1 14:30,24889.7,-4882,5500.14,2021/3/30,2021/4/1,58
59,2021/4/1 14:45,25082.8,-4882,5236.44,2021/3/30,2021/4/1,59
60,2021/4/1 15:00,25168.7,-4882,4982.29,2021/3/30,2021/4/1,60
61,2021/4/1 15:15,25295.4,-4882,4762.39,2021/3/30,2021/4/1,61
62,2021/4/1 15:30,25559.1,-4882,4400.75,2021/3/30,2021/4/1,62
63,2021/4/1 15:45,25788.5,-4882,4190.06,2021/3/30,2021/4/1,63
64,2021/4/1 16:00,26082.7,-5085.69,4018.15,2021/3/30,2021/4/1,64
65,2021/4/1 16:15,26283,-5290.62,3883.56,2021/3/30,2021/4/1,65
66,2021/4/1 16:30,26558.8,-5493.31,3735.31,2021/3/30,2021/4/1,66
67,2021/4/1 16:45,26843,-5697,3575.2,2021/3/30,2021/4/1,67
68,2021/4/1 17:00,27049.3,-5697,3425.5,2021/3/30,2021/4/1,68
69,2021/4/1 17:15,27308.2,-5697,3304.57,2021/3/30,2021/4/1,69
70,2021/4/1 17:30,27667,-5697,3235.21,2021/3/30,2021/4/1,70
71,2021/4/1 17:45,27883.7,-5697,3141.35,2021/3/30,2021/4/1,71
72,2021/4/1 18:00,28071.5,-5697,3081.39,2021/3/30,2021/4/1,72
73,2021/4/1 18:15,28361.3,-5697,3050.39,2021/3/30,2021/4/1,73
74,2021/4/1 18:30,28637.1,-5697,3047.88,2021/3/30,2021/4/1,74
75,2021/4/1 18:45,28822.1,-5697,3077.64,2021/3/30,2021/4/1,75
76,2021/4/1 19:00,28969.1,-5523.65,3096.91,2021/3/30,2021/4/1,76
77,2021/4/1 19:15,29006.5,-5523.65,3115,2021/3/30,2021/4/1,77
78,2021/4/1 19:30,28827.9,-5523.65,3154.33,2021/3/30,2021/4/1,78
79,2021/4/1 19:45,28543.3,-5523.65,3167.14,2021/3/30,2021/4/1,79
80,2021/4/1 20:00,28314.1,-5319.96,3139.07,2021/3/30,2021/4/1,80
81,2021/4/1 20:15,28190.6,-5117.27,3097.25,2021/3/30,2021/4/1,81
82,2021/4/1 20:30,28131.3,-4912.34,3054.64,2021/3/30,2021/4/1,82
83,2021/4/1 20:45,28053.2,-4708.65,3007.1,2021/3/30,2021/4/1,83
84,2021/4/1 21:00,27931.1,-4882,2949.21,2021/3/30,2021/4/1,84
85,2021/4/1 21:15,27754.2,-4882,2885.74,2021/3/30,2021/4/1,85
86,2021/4/1 21:30,27512.5,-4882,2821.86,2021/3/30,2021/4/1,86
87,2021/4/1 21:45,27185.3,-4882,2765.91,2021/3/30,2021/4/1,87
88,2021/4/1 22:00,26800.9,-4678.31,2709.57,2021/3/30,2021/4/1,88
89,2021/4/1 22:15,26362.5,-4475.62,2720.76,2021/3/30,2021/4/1,89
90,2021/4/1 22:30,25793.6,-4270.69,2645.5,2021/3/30,2021/4/1,90
91,2021/4/1 22:45,25470.4,-3804.54,2577.3,2021/3/30,2021/4/1,91
92,2021/4/1 23:00,25489.9,-3808.88,2490.81,2021/3/30,2021/4/1,92
93,2021/4/1 23:15,25377.9,-3546.25,2401,2021/3/30,2021/4/1,93
94,2021/4/1 23:30,25137.2,-3546.25,2308.76,2021/3/30,2021/4/1,94
95,2021/4/1 23:45,24861,-3546.25,2200.44,2021/3/30,2021/4/1,95
288,2021/4/3 0:00,23828.9,-2898,6614.49,2021/4/1,2021/4/3,0
289,2021/4/3 0:15,23964.8,-2898,6631.62,2021/4/1,2021/4/3,1
290,2021/4/3 0:30,23764.8,-2898,6630.24,2021/4/1,2021/4/3,2
291,2021/4/3 0:45,23577,-2898,6619.87,2021/4/1,2021/4/3,3
292,2021/4/3 1:00,23471.6,-2898,6617.26,2021/4/1,2021/4/3,4
293,2021/4/3 1:15,23428.5,-2898,6612.77,2021/4/1,2021/4/3,5
294,2021/4/3 1:30,23290.4,-2898,6598.96,2021/4/1,2021/4/3,6
295,2021/4/3 1:45,23292.4,-2898,6590.66,2021/4/1,2021/4/3,7
296,2021/4/3 2:00,23376.4,-2898,6572.22,2021/4/1,2021/4/3,8
297,2021/4/3 2:15,23330.8,-2898,6551.48,2021/4/1,2021/4/3,9
298,2021/4/3 2:30,23021.2,-2898,6533.73,2021/4/1,2021/4/3,10
299,2021/4/3 2:45,22942.4,-2898,6517.16,2021/4/1,2021/4/3,11
300,2021/4/3 3:00,22891,-2898,6502.37,2021/4/1,2021/4/3,12
301,2021/4/3 3:15,22902.9,-2898,6491.22,2021/4/1,2021/4/3,13
302,2021/4/3 3:30,22943.4,-2898,6479.65,2021/4/1,2021/4/3,14
303,2021/4/3 3:45,22972.1,-2898,6468.26,2021/4/1,2021/4/3,15
304,2021/4/3 4:00,22974.9,-2898,6463.59,2021/4/1,2021/4/3,16
305,2021/4/3 4:15,22862.6,-2898,6457.45,2021/4/1,2021/4/3,17
306,2021/4/3 4:30,22915.4,-2898,6476.75,2021/4/1,2021/4/3,18
307,2021/4/3 4:45,22839.4,-2898,6479.13,2021/4/1,2021/4/3,19
308,2021/4/3 5:00,22867.9,-2954,6493.53,2021/4/1,2021/4/3,20
309,2021/4/3 5:15,23041.2,-2954,6503.32,2021/4/1,2021/4/3,21
310,2021/4/3 5:30,23242.5,-2954,6524.97,2021/4/1,2021/4/3,22
311,2021/4/3 5:45,23459.8,-2954,6546.09,2021/4/1,2021/4/3,23
312,2021/4/3 6:00,23716,-3285,6571.08,2021/4/1,2021/4/3,24
313,2021/4/3 6:15,24169.9,-3285,6620.69,2021/4/1,2021/4/3,25
314,2021/4/3 6:30,24608.4,-3285,6707.39,2021/4/1,2021/4/3,26
315,2021/4/3 6:45,24700.3,-3285,6808.34,2021/4/1,2021/4/3,27
316,2021/4/3 7:00,24581.9,-3470,6885.42,2021/4/1,2021/4/3,28
317,2021/4/3 7:15,24513.5,-3656,7023.51,2021/4/1,2021/4/3,29
318,2021/4/3 7:30,24515.4,-3840,7197.91,2021/4/1,2021/4/3,30
319,2021/4/3 7:45,24418.2,-4026,7401.58,2021/4/1,2021/4/3,31
320,2021/4/3 8:00,24418.2,-4210,7596.04,2021/4/1,2021/4/3,32
321,2021/4/3 8:15,24677.3,-4396,7816.38,2021/4/1,2021/4/3,33
322,2021/4/3 8:30,24829.8,-4580,8023.12,2021/4/1,2021/4/3,34
323,2021/4/3 8:45,24916.5,-4765,8229.41,2021/4/1,2021/4/3,35
324,2021/4/3 9:00,25047,-4765,8452.14,2021/4/1,2021/4/3,36
325,2021/4/3 9:15,25046.3,-4765,8661.45,2021/4/1,2021/4/3,37
326,2021/4/3 9:30,25086.5,-4765,8855.59,2021/4/1,2021/4/3,38
327,2021/4/3 9:45,25307.4,-4765,9003.51,2021/4/1,2021/4/3,39
328,2021/4/3 10:00,25483.5,-4765,9098.1,2021/4/1,2021/4/3,40
329,2021/4/3 10:15,25624.5,-4765,9163.3,2021/4/1,2021/4/3,41
330,2021/4/3 10:30,25773.9,-4765,9218.05,2021/4/1,2021/4/3,42
331,2021/4/3 10:45,25855.6,-4540,9229.29,2021/4/1,2021/4/3,43
332,2021/4/3 11:00,25947.3,-4193,9175.58,2021/4/1,2021/4/3,44
333,2021/4/3 11:15,26014.3,-4009,9077.12,2021/4/1,2021/4/3,45
334,2021/4/3 11:30,26025.9,-3823,8942.39,2021/4/1,2021/4/3,46
335,2021/4/3 11:45,25886.6,-3639,8796.32,2021/4/1,2021/4/3,47
336,2021/4/3 12:00,25666.9,-3639,8610.01,2021/4/1,2021/4/3,48
337,2021/4/3 12:15,25364,-3639,8435.88,2021/4/1,2021/4/3,49
338,2021/4/3 12:30,25038.6,-3639,8248.85,2021/4/1,2021/4/3,50
339,2021/4/3 12:45,24789,-3885,8062.81,2021/4/1,2021/4/3,51
340,2021/4/3 13:00,24625.8,-4026,7862.01,2021/4/1,2021/4/3,52
341,2021/4/3 13:15,24611.6,-4026,7644.8,2021/4/1,2021/4/3,53
342,2021/4/3 13:30,24632.2,-4026,7426.39,2021/4/1,2021/4/3,54
343,2021/4/3 13:45,24627.8,-4026,7215.91,2021/4/1,2021/4/3,55
344,2021/4/3 14:00,24663.6,-4026,7002.14,2021/4/1,2021/4/3,56
345,2021/4/3 14:15,24758.4,-4026,6815.18,2021/4/1,2021/4/3,57
346,2021/4/3 14:30,24879.2,-4026,6637.17,2021/4/1,2021/4/3,58
347,2021/4/3 14:45,24945.3,-4026,6442.02,2021/4/1,2021/4/3,59
348,2021/4/3 15:00,25114.4,-4026,6257.63,2021/4/1,2021/4/3,60
349,2021/4/3 15:15,25264.5,-4026,6074.18,2021/4/1,2021/4/3,61
350,2021/4/3 15:30,25424.8,-4026,5850.83,2021/4/1,2021/4/3,62
351,2021/4/3 15:45,25624.3,-4026,5601.26,2021/4/1,2021/4/3,63
352,2021/4/3 16:00,25867.3,-4210,5402.09,2021/4/1,2021/4/3,64
353,2021/4/3 16:15,26110.9,-4396,5197.81,2021/4/1,2021/4/3,65
354,2021/4/3 16:30,26343.6,-4580,4959.2,2021/4/1,2021/4/3,66
355,2021/4/3 16:45,26478,-4765,4705.56,2021/4/1,2021/4/3,67
356,2021/4/3 17:00,26616.1,-4765,4466.75,2021/4/1,2021/4/3,68
357,2021/4/3 17:15,26789.2,-4765,4226.43,2021/4/1,2021/4/3,69
358,2021/4/3 17:30,26948.4,-4765,4022.92,2021/4/1,2021/4/3,70
359,2021/4/3 17:45,27141,-4765,3706.06,2021/4/1,2021/4/3,71
360,2021/4/3 18:00,27335.5,-4765,3540.44,2021/4/1,2021/4/3,72
361,2021/4/3 18:15,27530,-4765,3468.71,2021/4/1,2021/4/3,73
362,2021/4/3 18:30,27652.5,-4765,3413.25,2021/4/1,2021/4/3,74
363,2021/4/3 18:45,27833,-4765,3426.71,2021/4/1,2021/4/3,75
364,2021/4/3 19:00,27918.5,-4654,3471.03,2021/4/1,2021/4/3,76
365,2021/4/3 19:15,27911.5,-4654,3519.02,2021/4/1,2021/4/3,77
366,2021/4/3 19:30,27797.2,-4654,3563.07,2021/4/1,2021/4/3,78
367,2021/4/3 19:45,27551.6,-4654,3591.15,2021/4/1,2021/4/3,79
368,2021/4/3 20:00,27289.2,-4469,3752.24,2021/4/1,2021/4/3,80
369,2021/4/3 20:15,27082.8,-4285,3730.35,2021/4/1,2021/4/3,81
370,2021/4/3 20:30,27002.2,-4099,3724.18,2021/4/1,2021/4/3,82
371,2021/4/3 20:45,27005.4,-3915,3700.43,2021/4/1,2021/4/3,83
372,2021/4/3 21:00,26898,-4026,3668.72,2021/4/1,2021/4/3,84
373,2021/4/3 21:15,26671.6,-4026,3632.04,2021/4/1,2021/4/3,85
374,2021/4/3 21:30,26427.1,-4026,3591.91,2021/4/1,2021/4/3,86
375,2021/4/3 21:45,26104.9,-3843,3531.35,2021/4/1,2021/4/3,87
376,2021/4/3 22:00,25739.9,-3453,3500.64,2021/4/1,2021/4/3,88
377,2021/4/3 22:15,25408.4,-3269,3464.29,2021/4/1,2021/4/3,89
378,2021/4/3 22:30,25071,-3083,3398.34,2021/4/1,2021/4/3,90
379,2021/4/3 22:45,24943.5,-2898,3334.71,2021/4/1,2021/4/3,91
380,2021/4/3 23:00,24865.7,-2898,3263.66,2021/4/1,2021/4/3,92
381,2021/4/3 23:15,24549.8,-2898,3183.34,2021/4/1,2021/4/3,93
382,2021/4/3 23:30,24263.6,-2898,3106.54,2021/4/1,2021/4/3,94
383,2021/4/3 23:45,23984.2,-2898,3045.44,2021/4/1,2021/4/3,95
480,2021/4/13 0:00,24677.4,-3933,6520.12,2021/4/11,2021/4/13,0
482,2021/4/13 0:15,24629.9,-3933,6359.51,2021/4/11,2021/4/13,1
484,2021/4/13 0:30,24511.9,-3933,6229.02,2021/4/11,2021/4/13,2
486,2021/4/13 0:45,24323.4,-3933,6107.54,2021/4/11,2021/4/13,3
488,2021/4/13 1:00,24253.2,-3933,6002.19,2021/4/11,2021/4/13,4
490,2021/4/13 1:15,24206.6,-3933,5908.67,2021/4/11,2021/4/13,5
492,2021/4/13 1:30,24094.9,-3933,5811.7,2021/4/11,2021/4/13,6
494,2021/4/13 1:45,23907.7,-3933,5715.45,2021/4/11,2021/4/13,7
496,2021/4/13 2:00,23833.5,-3933,5627.9,2021/4/11,2021/4/13,8
498,2021/4/13 2:15,23789.7,-3933,5538.12,2021/4/11,2021/4/13,9
500,2021/4/13 2:30,23801.3,-3933,5455.48,2021/4/11,2021/4/13,10
502,2021/4/13 2:45,23723.5,-3933,5361.09,2021/4/11,2021/4/13,11
504,2021/4/13 3:00,23612.9,-3933,5269.42,2021/4/11,2021/4/13,12
506,2021/4/13 3:15,23723.3,-3933,5174.99,2021/4/11,2021/4/13,13
508,2021/4/13 3:30,23693.1,-3933,5091.97,2021/4/11,2021/4/13,14
510,2021/4/13 3:45,23529.8,-3933,4993.31,2021/4/11,2021/4/13,15
512,2021/4/13 4:00,23365.9,-3933,4895.52,2021/4/11,2021/4/13,16
514,2021/4/13 4:15,23526.2,-3933,4790.81,2021/4/11,2021/4/13,17
516,2021/4/13 4:30,23739.5,-3933,4680.91,2021/4/11,2021/4/13,18
518,2021/4/13 4:45,23652.2,-3933,4568.46,2021/4/11,2021/4/13,19
520,2021/4/13 5:00,23701.8,-4020,4414.88,2021/4/11,2021/4/13,20
522,2021/4/13 5:15,23978.1,-4020,4233.87,2021/4/11,2021/4/13,21
524,2021/4/13 5:30,24330.5,-4020,4063.12,2021/4/11,2021/4/13,22
526,2021/4/13 5:45,24712.8,-4225,3901.91,2021/4/11,2021/4/13,23
528,2021/4/13 6:00,25158,-4541,3780.72,2021/4/11,2021/4/13,24
530,2021/4/13 6:15,25537,-4541,3756.9,2021/4/11,2021/4/13,25
532,2021/4/13 6:30,25905.7,-4541,3769.22,2021/4/11,2021/4/13,26
534,2021/4/13 6:45,25861.5,-4541,3874.01,2021/4/11,2021/4/13,27
536,2021/4/13 7:00,25765.9,-4804,3960.77,2021/4/11,2021/4/13,28
538,2021/4/13 7:15,25507.9,-5068,4164.91,2021/4/11,2021/4/13,29
540,2021/4/13 7:30,25273.5,-5331,4447.94,2021/4/11,2021/4/13,30
542,2021/4/13 7:45,24992.5,-5595,4772.19,2021/4/11,2021/4/13,31
544,2021/4/13 8:00,24939.5,-5855,5202.23,2021/4/11,2021/4/13,32
546,2021/4/13 8:15,25096.7,-6121,5672,2021/4/11,2021/4/13,33
548,2021/4/13 8:30,25132.2,-6382,6146.33,2021/4/11,2021/4/13,34
550,2021/4/13 8:45,25073,-6645,6619.14,2021/4/11,2021/4/13,35
552,2021/4/13 9:00,25005.4,-6645,7074.78,2021/4/11,2021/4/13,36
554,2021/4/13 9:15,24985.1,-6645,7483.72,2021/4/11,2021/4/13,37
556,2021/4/13 9:30,24987,-6645,7884.85,2021/4/11,2021/4/13,38
558,2021/4/13 9:45,25001.7,-6645,8273.92,2021/4/11,2021/4/13,39
560,2021/4/13 10:00,25017.8,-6645,8663.51,2021/4/11,2021/4/13,40
562,2021/4/13 10:15,25037.4,-6645,9027.02,2021/4/11,2021/4/13,41
564,2021/4/13 10:30,25117.5,-6645,9384.32,2021/4/11,2021/4/13,42
566,2021/4/13 10:45,25224.8,-6292,9716.87,2021/4/11,2021/4/13,43
568,2021/4/13 11:00,25259.5,-5774,10086.38,2021/4/11,2021/4/13,44
570,2021/4/13 11:15,25263.4,-5513,10414.81,2021/4/11,2021/4/13,45
572,2021/4/13 11:30,25170.8,-5247,10732.48,2021/4/11,2021/4/13,46
574,2021/4/13 11:45,24992.2,-4987,11052.15,2021/4/11,2021/4/13,47
576,2021/4/13 12:00,24761.4,-4987,11378.72,2021/4/11,2021/4/13,48
578,2021/4/13 12:15,24587.5,-4987,11686.02,2021/4/11,2021/4/13,49
580,2021/4/13 12:30,24388.4,-4987,11986.36,2021/4/11,2021/4/13,50
582,2021/4/13 12:45,24248.1,-5373,12282.89,2021/4/11,2021/4/13,51
584,2021/4/13 13:00,24180.7,-5595,12520.98,2021/4/11,2021/4/13,52
586,2021/4/13 13:15,24138.4,-5595,12712.34,2021/4/11,2021/4/13,53
588,2021/4/13 13:30,24136.8,-5595,12833.1,2021/4/11,2021/4/13,54
590,2021/4/13 13:45,24131.4,-5595,12950.63,2021/4/11,2021/4/13,55
592,2021/4/13 14:00,24171.6,-5595,12898.89,2021/4/11,2021/4/13,56
594,2021/4/13 14:15,24274.2,-5595,12811.06,2021/4/11,2021/4/13,57
596,2021/4/13 14:30,24366.6,-5595,12721.04,2021/4/11,2021/4/13,58
598,2021/4/13 14:45,24574.5,-5595,12613.3,2021/4/11,2021/4/13,59
600,2021/4/13 15:00,24752.8,-5595,12460.51,2021/4/11,2021/4/13,60
602,2021/4/13 15:15,24881.6,-5595,12271.33,2021/4/11,2021/4/13,61
604,2021/4/13 15:30,25058.8,-5595,12075.76,2021/4/11,2021/4/13,62
606,2021/4/13 15:45,25353.2,-5595,11753.29,2021/4/11,2021/4/13,63
608,2021/4/13 16:00,25684.4,-5855,11507.81,2021/4/11,2021/4/13,64
610,2021/4/13 16:15,26022.1,-6121,11242.46,2021/4/11,2021/4/13,65
612,2021/4/13 16:30,26477,-6382,10962.77,2021/4/11,2021/4/13,66
614,2021/4/13 16:45,26834.6,-6645,10647.02,2021/4/11,2021/4/13,67
616,2021/4/13 17:00,27172.9,-6645,9994.74,2021/4/11,2021/4/13,68
618,2021/4/13 17:15,27518.2,-6645,9499.1,2021/4/11,2021/4/13,69
620,2021/4/13 17:30,27773.7,-6645,9119.2,2021/4/11,2021/4/13,70
622,2021/4/13 17:45,27855.1,-6645,8690.02,2021/4/11,2021/4/13,71
624,2021/4/13 18:00,27932.8,-6645,8262.9,2021/4/11,2021/4/13,72
626,2021/4/13 18:15,28085.7,-6645,7921.05,2021/4/11,2021/4/13,73
628,2021/4/13 18:30,28403.2,-6645,7610.01,2021/4/11,2021/4/13,74
630,2021/4/13 18:45,28635.1,-6645,7401.48,2021/4/11,2021/4/13,75
632,2021/4/13 19:00,28780.4,-6471,7308.47,2021/4/11,2021/4/13,76
634,2021/4/13 19:15,28959.8,-6471,7178.42,2021/4/11,2021/4/13,77
636,2021/4/13 19:30,28998,-6471,7111.98,2021/4/11,2021/4/13,78
638,2021/4/13 19:45,28847,-6471,7059.91,2021/4/11,2021/4/13,79
640,2021/4/13 20:00,28640.9,-6208,7137.75,2021/4/11,2021/4/13,80
642,2021/4/13 20:15,28534.5,-5947,7108.5,2021/4/11,2021/4/13,81
644,2021/4/13 20:30,28428.8,-5681,7110.63,2021/4/11,2021/4/13,82
646,2021/4/13 20:45,28196.3,-5421,7088.03,2021/4/11,2021/4/13,83
648,2021/4/13 21:00,27961.4,-5595,7062.24,2021/4/11,2021/4/13,84
650,2021/4/13 21:15,27724,-5595,7039.13,2021/4/11,2021/4/13,85
652,2021/4/13 21:30,27356.6,-5595,7149.93,2021/4/11,2021/4/13,86
654,2021/4/13 21:45,26999.9,-5308,7227.99,2021/4/11,2021/4/13,87
656,2021/4/13 22:00,26621,-4723,7246.74,2021/4/11,2021/4/13,88
658,2021/4/13 22:15,26264.8,-4460,7230.9,2021/4/11,2021/4/13,89
660,2021/4/13 22:30,25955,-4196,7280.64,2021/4/11,2021/4/13,90
662,2021/4/13 22:45,25815.3,-3933,7283.7,2021/4/11,2021/4/13,91
664,2021/4/13 23:00,25643.9,-3933,7261.89,2021/4/11,2021/4/13,92
666,2021/4/13 23:15,25388.4,-3933,7244.23,2021/4/11,2021/4/13,93
668,2021/4/13 23:30,25131.1,-3933,7230.69,2021/4/11,2021/4/13,94
670,2021/4/13 23:45,24844.4,-3933,7169.28,2021/4/11,2021/4/13,95
673,2021/4/14 0:00,24503.1,-3933,7964.7,2021/4/12,2021/4/14,0
676,2021/4/14 0:15,24373.9,-3933,7942.06,2021/4/12,2021/4/14,1
679,2021/4/14 0:30,24363.2,-3933,7930.12,2021/4/12,2021/4/14,2
682,2021/4/14 0:45,24356.9,-3933,7917.47,2021/4/12,2021/4/14,3
685,2021/4/14 1:00,24167.5,-3933,7906.3,2021/4/12,2021/4/14,4
688,2021/4/14 1:15,23954.8,-3933,7911.78,2021/4/12,2021/4/14,5
691,2021/4/14 1:30,23950.1,-3933,7901.85,2021/4/12,2021/4/14,6
694,2021/4/14 1:45,23914.2,-3933,7908.2,2021/4/12,2021/4/14,7
697,2021/4/14 2:00,23806.5,-3933,7894.38,2021/4/12,2021/4/14,8
700,2021/4/14 2:15,23676,-3933,7872.04,2021/4/12,2021/4/14,9
703,2021/4/14 2:30,23542.9,-3933,7862.3,2021/4/12,2021/4/14,10
706,2021/4/14 2:45,23572.9,-3933,7853.7,2021/4/12,2021/4/14,11
709,2021/4/14 3:00,23569.1,-3933,7828.22,2021/4/12,2021/4/14,12
712,2021/4/14 3:15,23410.3,-3933,7802.37,2021/4/12,2021/4/14,13
715,2021/4/14 3:30,23291.1,-3933,7761.95,2021/4/12,2021/4/14,14
718,2021/4/14 3:45,23255.2,-3933,7718.05,2021/4/12,2021/4/14,15
721,2021/4/14 4:00,23354.9,-3933,7650.44,2021/4/12,2021/4/14,16
724,2021/4/14 4:15,23422.5,-3933,7588.02,2021/4/12,2021/4/14,17
727,2021/4/14 4:30,23334.5,-3933,7503.56,2021/4/12,2021/4/14,18
730,2021/4/14 4:45,23370,-3933,7409.23,2021/4/12,2021/4/14,19
733,2021/4/14 5:00,23665.1,-4020,7249.18,2021/4/12,2021/4/14,20
736,2021/4/14 5:15,23931.2,-4020,7068.1,2021/4/12,2021/4/14,21
739,2021/4/14 5:30,24133.7,-4020,6874.06,2021/4/12,2021/4/14,22
742,2021/4/14 5:45,24549.4,-4225,6693.53,2021/4/12,2021/4/14,23
745,2021/4/14 6:00,25105.7,-4541,6539,2021/4/12,2021/4/14,24
748,2021/4/14 6:15,25463.4,-4541,6485.21,2021/4/12,2021/4/14,25
751,2021/4/14 6:30,25677.2,-4541,6462.67,2021/4/12,2021/4/14,26
754,2021/4/14 6:45,25720.3,-4541,6508.16,2021/4/12,2021/4/14,27
757,2021/4/14 7:00,25585.2,-4804,6539.84,2021/4/12,2021/4/14,28
760,2021/4/14 7:15,25272.7,-5068,6657.98,2021/4/12,2021/4/14,29
763,2021/4/14 7:30,24838.1,-5331,6842.05,2021/4/12,2021/4/14,30
766,2021/4/14 7:45,24516.7,-5595,7067.49,2021/4/12,2021/4/14,31
769,2021/4/14 8:00,24465.6,-5855,7428.28,2021/4/12,2021/4/14,32
772,2021/4/14 8:15,24449.3,-6121,7832.38,2021/4/12,2021/4/14,33
